Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Unidades productivas. Unidades productivas de construcción. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;52382;53161;53601;56186;58440;59944;61088;63323;64619;
Zonas Estadísticas;01;Municipio de Madrid ;20358;20484;20636;21787;22579;23066;23478;24451;25375;
Zonas Estadísticas;02;Norte Metropolitano ;2572;2627;2620;2711;2766;2862;2909;3009;3020;
Zonas Estadísticas;03;Este Metropolitano  ;6515;6617;6640;7051;7393;7647;7884;8148;8163;
Zonas Estadísticas;04;Sur Metropolitano   ;12464;12651;12721;13194;13772;14094;14276;14720;14827;
Zonas Estadísticas;05;Oeste Metropolitano ;3286;3401;3465;3672;3845;3931;4010;4172;4288;
Zonas Estadísticas;06;Sierra Norte        ;593;591;599;620;647;646;679;674;694;
Zonas Estadísticas;07;Nordeste Comunidad  ;779;825;822;839;879;926;920;961;999;
Zonas Estadísticas;08;Sudeste Comunidad   ;1422;1447;1443;1487;1562;1581;1628;1684;1677;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1951;2056;2132;2227;2287;2390;2424;2518;2564;
Zonas Estadísticas;10;Sierra Sur          ;558;535;529;554;590;611;630;661;656;
Zonas Estadísticas;11;Sierra Central      ;1884;1927;1994;2044;2120;2190;2250;2325;2356;
Municipios;0014;Acebeda (La);1;1;2;2;2;1;2;1;1;
Municipios;0029;Ajalvir;83;91;84;88;95;99;94;99;92;
Municipios;0035;Alameda del Valle;0;0;1;1;1;1;1;1;1;
Municipios;0040;Alamo (El);127;123;118;127;139;145;148;158;171;
Municipios;0053;Alcalá de Henares;1650;1582;1640;1783;1861;1946;2027;2045;2032;
Municipios;0066;Alcobendas;770;772;784;803;829;857;878;881;878;
Municipios;0072;Alcorcón;1412;1408;1427;1459;1519;1561;1593;1655;1660;
Municipios;0088;Aldea del Fresno;35;34;33;38;40;44;50;56;57;
Municipios;0091;Algete;205;216;219;217;229;241;232;249;251;
Municipios;0105;Alpedrete;125;142;155;161;156;178;179;205;202;
Municipios;0112;Ambite;7;5;5;7;9;8;8;11;12;
Municipios;0127;Anchuelo;15;12;20;17;18;17;13;13;12;
Municipios;0133;Aranjuez;336;361;357;370;382;394;406;463;482;
Municipios;0148;Arganda del Rey;729;761;779;824;889;913;919;1004;1001;
Municipios;0151;Arroyomolinos;361;390;413;459;476;509;522;552;553;
Municipios;0164;Atazar (El);1;1;2;2;2;2;2;2;2;
Municipios;0170;Batres;15;14;13;14;17;17;24;19;29;
Municipios;0186;Becerril de la Sierra;103;102;95;96;95;101;112;109;105;
Municipios;0199;Belmonte de Tajo;13;13;18;15;18;22;22;21;21;
Municipios;0210;Berrueco (El);10;9;7;8;10;15;18;16;14;
Municipios;0203;Berzosa del Lozoya;1;1;1;2;2;3;3;3;9;
Municipios;0225;Boadilla del Monte;351;351;374;399;404;415;424;447;464;
Municipios;0231;Boalo (El);104;97;101;106;115;121;124;133;132;
Municipios;0246;Braojos;11;11;10;8;7;6;5;3;3;
Municipios;0259;Brea de Tajo;5;6;6;7;6;5;6;6;5;
Municipios;0262;Brunete;105;117;118;134;141;152;143;153;156;
Municipios;0278;Buitrago del Lozoya;31;27;27;30;31;32;33;37;37;
Municipios;0284;Bustarviejo;36;37;40;38;33;32;37;39;37;
Municipios;0297;Cabanillas de la Sierra;12;12;15;10;10;11;13;11;10;
Municipios;0301;Cabrera (La);41;51;41;42;49;50;51;54;56;
Municipios;0318;Cadalso de los Vidrios;60;54;55;53;58;58;59;63;67;
Municipios;0323;Camarma de Esteruelas;113;116;103;108;113;112;128;143;151;
Municipios;0339;Campo Real;103;102;107;106;117;102;99;107;108;
Municipios;0344;Canencia;21;21;23;20;22;20;21;17;14;
Municipios;0357;Carabaña;25;30;33;30;40;41;42;41;43;
Municipios;0360;Casarrubuelos;56;72;73;80;73;80;80;83;83;
Municipios;0376;Cenicientos;21;19;19;21;19;22;27;27;22;
Municipios;0382;Cercedilla;116;115;111;120;114;110;120;125;130;
Municipios;0395;Cervera de Buitrago;1;1;0;0;0;0;0;2;2;
Municipios;0513;Chapinería;44;40;42;38;45;43;39;39;42;
Municipios;0528;Chinchón;63;65;57;60;62;59;59;55;54;
Municipios;0409;Ciempozuelos;210;225;221;246;259;273;277;278;279;
Municipios;0416;Cobeña;55;58;54;58;54;62;62;65;59;
Municipios;0468;Collado Mediano;78;76;71;74;83;86;87;94;102;
Municipios;0474;Collado Villalba;562;581;593;623;679;696;707;746;787;
Municipios;0455;Colmenar Viejo;528;524;520;546;561;559;572;612;593;
Municipios;0437;Colmenar de Oreja;178;163;160;159;161;173;179;187;186;
Municipios;0421;Colmenar del Arroyo;28;32;28;30;31;27;29;26;28;
Municipios;0442;Colmenarejo;108;102;115;115;117;113;117;119;130;
Municipios;0480;Corpa;6;5;1;1;1;1;2;3;4;
Municipios;0493;Coslada;977;1020;1005;1054;1114;1163;1184;1201;1216;
Municipios;0506;Cubas de la Sagra;98;89;97;94;114;110;116;121;129;
Municipios;0534;Daganzo de Arriba;89;100;98;97;114;113;104;109;103;
Municipios;0549;Escorial (El);153;152;161;158;158;152;165;164;171;
Municipios;0552;Estremera;31;29;26;25;28;23;23;20;20;
Municipios;0565;Fresnedillas de la Oliva;17;17;14;16;17;17;19;19;19;
Municipios;0571;Fresno de Torote;26;30;27;29;36;36;35;30;33;
Municipios;0587;Fuenlabrada;2294;2305;2231;2324;2374;2404;2405;2461;2451;
Municipios;0590;Fuente el Saz de Jarama;104;115;121;120;120;123;115;127;122;
Municipios;0604;Fuentidueña de Tajo;18;22;19;21;25;26;26;34;33;
Municipios;0611;Galapagar;346;370;389;385;391;411;424;455;457;
Municipios;0626;Garganta de los Montes;13;11;12;12;13;13;12;13;13;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;2;4;5;5;4;5;4;4;5;
Municipios;0647;Gascones;4;4;6;5;4;4;5;6;8;
Municipios;0650;Getafe;1553;1566;1619;1702;1743;1802;1835;1906;1927;
Municipios;0663;Griñón;157;165;172;184;194;195;193;201;203;
Municipios;0679;Guadalix de la Sierra;98;97;104;114;110;109;112;121;121;
Municipios;0685;Guadarrama;157;163;179;181;183;204;202;207;210;
Municipios;0698;Hiruela (La);0;0;0;0;0;0;0;0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;2;2;2;2;2;2;2;1;1;
Municipios;0719;Horcajuelo de la Sierra;8;9;6;5;5;5;5;3;3;
Municipios;0724;Hoyo de Manzanares;76;83;78;78;72;72;70;73;78;
Municipios;0730;Humanes de Madrid;508;517;536;550;590;633;629;662;667;
Municipios;0745;Leganés;1806;1856;1867;1913;2016;2055;2115;2121;2180;
Municipios;0758;Loeches;128;137;134;136;144;138;142;148;157;
Municipios;0761;Lozoya;9;8;7;10;7;10;9;8;9;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;18;18;20;19;22;21;24;21;25;
Municipios;0783;Madarcos;0;1;0;0;0;0;0;0;0;
Municipios;0796;Madrid;20358;20484;20636;21787;22579;23066;23478;24451;25375;
Municipios;0800;Majadahonda;333;351;337;358;383;395;392;423;436;
Municipios;0822;Manzanares el Real;91;97;101;110;125;131;133;129;123;
Municipios;0838;Meco;184;188;189;204;206;220;224;224;246;
Municipios;0843;Mejorada del Campo;405;414;422;440;457;456;461;502;505;
Municipios;0856;Miraflores de la Sierra;93;90;91;94;101;112;112;112;112;
Municipios;0869;Molar (El);79;90;90;94;95;104;115;119;121;
Municipios;0875;Molinos (Los);79;82;87;77;78;81;85;89;90;
Municipios;0881;Montejo de la Sierra;11;9;4;4;5;5;4;3;3;
Municipios;0894;Moraleja de Enmedio;118;116;131;144;139;154;146;151;153;
Municipios;0908;Moralzarzal;124;124;116;135;138;139;144;149;149;
Municipios;0915;Morata de Tajuña;83;94;90;93;104;109;111;119;125;
Municipios;0920;Móstoles;1967;1979;1961;2031;2079;2066;2087;2130;2100;
Municipios;0936;Navacerrada;46;47;50;48;51;50;44;48;51;
Municipios;0941;Navalafuente;11;11;13;16;18;14;13;13;16;
Municipios;0954;Navalagamella;20;20;18;15;17;24;26;27;25;
Municipios;0967;Navalcarnero;434;459;450;434;427;446;453;467;468;
Municipios;0973;Navarredonda y San Mamés;2;2;2;2;2;2;2;2;2;
Municipios;0992;Navas del Rey;49;48;52;48;49;56;54;63;56;
Municipios;1006;Nuevo Baztán;108;109;115;124;132;117;120;128;129;
Municipios;1013;Olmeda de las Fuentes;8;6;6;6;7;8;6;8;7;
Municipios;1028;Orusco de Tajuña;7;9;6;9;14;13;12;16;14;
Municipios;1049;Paracuellos de Jarama;183;195;196;218;240;237;236;246;248;
Municipios;1065;Parla;1023;1048;1085;1146;1237;1273;1346;1374;1380;
Municipios;1071;Patones;8;8;9;8;8;9;8;5;6;
Municipios;1087;Pedrezuela;50;57;58;50;59;63;65;62;66;
Municipios;1090;Pelayos de la Presa;39;37;35;41;40;45;51;56;56;
Municipios;1104;Perales de Tajuña;43;42;45;41;41;42;44;51;52;
Municipios;1111;Pezuela de las Torres;8;10;9;8;10;12;12;10;9;
Municipios;1126;Pinilla del Valle;1;1;2;1;2;1;1;1;1;
Municipios;1132;Pinto;445;457;465;471;504;512;500;511;504;
Municipios;1147;Piñuécar-Gandullas;2;3;4;2;2;3;4;3;4;
Municipios;1150;Pozuelo de Alarcón;447;447;496;547;552;555;571;550;553;
Municipios;1163;Pozuelo del Rey;18;14;12;12;16;14;17;17;18;
Municipios;1179;Prádena del Rincón;8;6;7;8;7;6;6;6;7;
Municipios;1185;Puebla de la Sierra;0;0;1;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;9;8;7;7;11;9;12;11;11;
Municipios;1198;Quijorna;30;31;32;30;35;34;37;40;42;
Municipios;1202;Rascafría;33;30;32;39;42;37;40;38;38;
Municipios;1219;Redueña;1;1;3;5;4;3;3;2;2;
Municipios;1224;Ribatejada;6;7;7;8;11;12;13;11;12;
Municipios;1230;Rivas-Vaciamadrid;758;796;793;831;854;914;974;1017;1027;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;1;1;
Municipios;1258;Robledo de Chavela;57;49;43;45;52;53;63;64;63;
Municipios;1261;Robregordo;0;0;0;0;0;0;1;0;0;
Municipios;1277;Rozas de Madrid (Las);536;540;543;571;618;627;657;659;690;
Municipios;1283;Rozas de Puerto Real;2;3;2;3;2;4;5;7;5;
Municipios;1296;San Agustín del Guadalix;93;103;106;108;102;109;110;115;120;
Municipios;1300;San Fernando de Henares;488;496;495;507;500;507;532;546;549;
Municipios;1317;San Lorenzo de El Escorial;132;147;149;154;151;161;165;167;177;
Municipios;1338;San Martín de Valdeiglesias;126;125;124;138;145;143;144;154;159;
Municipios;1322;San Martín de la Vega;233;219;225;217;239;255;260;272;304;
Municipios;1343;San Sebastián de los Reyes;757;790;773;811;833;862;869;892;920;
Municipios;1356;Santa María de la Alameda;32;35;36;41;47;47;45;46;46;
Municipios;1369;Santorcaz;15;11;16;16;15;16;19;20;19;
Municipios;1375;Santos de la Humosa (Los);18;23;26;25;27;31;37;30;27;
Municipios;1381;Serna del Monte (La);5;2;2;3;1;0;0;0;0;
Municipios;1408;Serranillos del Valle;73;77;83;93;88;102;105;99;97;
Municipios;1415;Sevilla la Nueva;115;126;132;123;128;127;126;133;130;
Municipios;1436;Somosierra;0;0;1;0;0;0;0;0;0;
Municipios;1441;Soto del Real;87;84;89;93;98;93;96;101;96;
Municipios;1454;Talamanca de Jarama;48;48;46;45;49;54;46;50;50;
Municipios;1467;Tielmes;33;29;31;38;33;35;35;43;39;
Municipios;1473;Titulcia;16;24;19;25;25;29;25;18;19;
Municipios;1489;Torrejón de Ardoz;1057;1082;1046;1111;1188;1221;1261;1289;1294;
Municipios;1505;Torrejón de Velasco;53;62;69;62;68;70;74;83;78;
Municipios;1492;Torrejón de la Calzada;134;142;145;155;156;142;141;146;152;
Municipios;1512;Torrelaguna;45;52;48;58;59;59;65;67;66;
Municipios;1527;Torrelodones;131;139;130;131;139;142;154;165;159;
Municipios;1533;Torremocha de Jarama;9;9;6;6;5;9;9;8;10;
Municipios;1548;Torres de la Alameda;94;95;92;99;97;102;106;105;106;
Municipios;9036;Tres Cantos;164;164;164;168;158;172;186;195;199;
Municipios;1551;Valdaracete;7;8;5;5;6;6;5;6;3;
Municipios;1564;Valdeavero;17;16;20;18;23;26;27;30;31;
Municipios;1570;Valdelaguna;11;12;13;12;12;16;17;17;17;
Municipios;1586;Valdemanco;29;26;31;30;31;27;25;29;29;
Municipios;1599;Valdemaqueda;30;29;30;31;32;35;31;31;32;
Municipios;1603;Valdemorillo;148;153;160;166;181;171;180;190;194;
Municipios;1610;Valdemoro;677;710;727;765;830;866;823;887;893;
Municipios;1625;Valdeolmos-Alalpardo;30;34;32;32;31;39;35;31;35;
Municipios;1631;Valdepiélagos;12;11;12;11;9;7;8;10;10;
Municipios;1646;Valdetorres de Jarama;71;70;77;73;72;80;70;77;85;
Municipios;1659;Valdilecha;27;27;31;36;39;47;52;47;49;
Municipios;1662;Valverde de Alcalá;2;1;2;1;3;4;4;5;5;
Municipios;1678;Velilla de San Antonio;185;180;180;195;195;191;196;199;199;
Municipios;1684;Vellón (El);24;22;24;24;28;29;31;32;32;
Municipios;1697;Venturada;19;13;11;16;20;21;23;23;24;
Municipios;1718;Villa del Prado;66;70;81;87;84;92;93;95;101;
Municipios;1701;Villaconejos;39;45;44;39;39;39;51;50;48;
Municipios;1723;Villalbilla;141;147;146;160;160;164;166;183;165;
Municipios;1739;Villamanrique de Tajo;17;15;10;10;8;8;8;9;7;
Municipios;1744;Villamanta;50;56;55;58;64;72;71;69;70;
Municipios;1757;Villamantilla;11;11;14;21;22;22;19;23;24;
Municipios;1782;Villanueva de Perales;18;19;21;24;23;29;26;22;24;
Municipios;1760;Villanueva de la Cañada;125;133;129;145;159;168;167;185;200;
Municipios;1776;Villanueva del Pardillo;140;154;163;156;176;187;185;184;182;
Municipios;1795;Villar del Olmo;35;35;32;34;36;44;44;48;56;
Municipios;1809;Villarejo de Salvanés;100;102;107;110;109;110;116;108;108;
Municipios;1816;Villaviciosa de Odón;274;289;278;301;307;298;301;316;308;
Municipios;1821;Villavieja del Lozoya;6;5;3;6;7;7;8;5;5;
